"file_id","file_name","file_name_original","file_path","file_size","file_date","file_mtime","file_hash","file_hash_sha256","file_remote_uri","file_thumbnail","file_display_name","file_description","file_tags","file_requirement","file_version","file_author","file_language","file_platform","file_license","file_user_roles","file_password","file_offline","file_direct_linking","file_force_download","file_category","file_category_name","file_sec_cat1","file_sec_cat2","file_sec_cat3","file_update_of","file_post_id","file_attach_order","file_wpattach_id","file_added_by","file_hits","file_ratings","file_rating_sum","file_last_dl_ip","file_last_dl_time","file_rescan_pending","file_scan_lock","file_custom_reqver","file_custom_tested","file_edit_permissions"
"520","ActiveCompare.jsee",,"macros/ActiveCompare.jsee","3850","2021-08-12 09:15:25","1628785824","06666b0aa6b3123fdad9b8e7c653161e","defffba169986f503b810bf07dad31af542816c88752d81099da81f7da8870a9",,,"ActiveCompare","ActiveCompare   (編集中のファイルを保存済みのファイルと比較する)

&nbsp;

説明：You can compare the file you are editing with the last state it was saved in before editing.

（編集中のファイルを編集前の最後に保存された状態と比較することができます。）",",,",,"1.00","Takahiro Kawakami",,"win8","free",,,"0","1","0","2","Macros","0","0","0","0","0","0","27669","760","263","0","0","82.168.108.31","2023-08-09 12:33:30","0","0",,,
"330","AddSpacesBetweenFullHalf.jsee",,"macros/AddSpacesBetweenFullHalf.jsee","4128","2013-08-16 15:08:28","1420541212","d42bfd07e482aea3ffdd2338799b6484",,,,"漢字と英数字の間に半角スペースをいれるマクロ ","このマクロは、基本的に、漢字と英数字の間に半角スペースを入れます。

ただし、次のような例外があります。
- 「、」の後、そして「。」の前は英数字があっても変換しない。
- ""2009年12月22日""の日付形式のものは変換しない。
- ""2009年12月22日(火曜日)""のような場合は、""2009年12月22日 (火曜日)"" に変換する。""2009年12月22日(火)""、""2009/12/22(火曜日)""、""2009/12/22(火)""の場合も同様に (火曜日) の左側のみにスペースを挿入する。
- ""～して2003年～"" や ""～7年～"" など、年が数字の後に着いた場合、数字の前と後には変換しない。
- ""「EmEditor」""と日本語の括弧で含まれる英数字は変換しない。『』、【】、＜＞などの全角括弧の場合も変換しない。
- ""これまで10万以上""のように数字の後に単位を数える漢字 (万、円、個、台、人など) が付いた場合は、年と同様に変換しない。",",,",,"1.00","Yutaka Emura (Emurasoft, Inc.)",,,"free",,,"0","1","0","2","Macros","0","0","0","0","0","0","3430","3","1421","0","0","52.167.144.19","2023-08-09 12:07:34","0","0",,,
"321","AtodeAlert.zip",,"macros/AtodeAlert.zip","3343","2013-01-07 14:57:33","1420541208","b714534bf7526a7867911075bc76b54a",,,,"あとでやるリストを抽出＆出力するマクロ ","テキスト内に決まったフォーマットで書かれた""あとでやる""リストを抽出して一覧表示します。

複数ファイルで構成しています。マクロ本体はAtodeAlert.jseeです。これを登録してください。

【2013/01/06 追加】

単一行の""あとでやる""リストを抽出対象に追加しました。",",,",,,,,,"free",,,"0","1","0","2","Macros","0","0","0","0","0","0","3421","3","551","0","0","91.214.67.229","2023-08-14 10:51:46","0","0",,,
"2","AutoCompleteFind.vbee",,"macros/AutoCompleteFind.vbee","10528","2006-10-23 13:42:02","1420541206","62caa9157d624f1d6f94a60d92e12511",,,,"Auto complete macro using similar word in document ","Auto complete macro using Find function. The macro completes a string by searching for the similar word in the document without need for a pre-registered keyword list.

For instance, if ""EmEditor"" already exists in the document, 

""EE"" -> ""EmEditor"" 

If ""document.selection.Text"" already exists in the document,
""d.s.T"" -> ""document.selection.Text""
",",,",,,"roku",,,"free",,,"0","1","0","2","Macros","0","0","0","0","0","0","3103","3","2673","0","0","64.124.8.34","2023-08-16 17:37:16","0","0",,,
"3","AutoCompleteFindLite.vbee",,"macros/AutoCompleteFindLite.vbee","10136","2006-11-11 13:44:21","1420541212","58c0113485a75968055da917fe574cb5",,,,"Auto complete macro using similar word in document (light weight version) ","Auto complete macro using Find function. The macro completes a string by searching for the similar word in the document without need for a pre-registered keyword list.

For instance, if ""EmEditor"" already exists in the document, 

""EE"" -> ""EmEditor"" 


Example:
[Sample text]

Scripting Language JavaScript
Scripting Language VBScript
Scripting Language Perl
Scripting Language Python
Scripting Language JavaScript VBScript Perl Python
Scripting Language JavaScript VBScript Perl Python

[Completion example]
('!' denotes completion execution.)

Scripting Language JavaScript
S!! L! VBScript
Sg! L! Perl
Sg! L! Python
Sg! L! J! V! Pe! Py!
Sg!!!!!!!!!!!
",",,",,,"roku",,,"free",,,"0","1","0","2","Macros","0","0","0","0","0","0","3105","3","2453","0","0","40.77.167.18","2023-08-15 19:22:43","0","0",,,
"324","BlogPost.jsee",,"macros/BlogPost.jsee","13538","2006-10-15 15:03:24","1420541204","b7cd17af0cd8b9fe5f955553e46af4ed",,,,"ブログを投稿するマクロ","XmlHttpとBloggerAPIを用いて、現在のファイル内容をブログに投稿します。投稿履歴を取ることで新規投稿後の更新も可能。

現在ニフティーのココログで動作確認済み。

作者の Web サイト: <a href=""http://d.hatena.ne.jp/takuya_1st/"" target=""_blank"">http://d.hatena.ne.jp/takuya_1st/</a>",",,",,"1.0",,,,"free",,,"0","1","0","2","Macros","0","0","0","0","0","0","3424","3","1590","0","0","40.77.167.92","2023-08-09 19:54:54","0","0",,,
"8","CMT.jsee",,"macros/CMT.jsee","5644","2008-09-01 14:18:59","1420541216","314b5876637c9a61c30d708d5549abde",,,,"Macro - Add comments (css html javascript c++ java c#), multiline, singleline with date ","1> copy to your Emeditor Macros directory.
2> Macros -> Customize -> New -> CMT.js
3> Enjoy the comment fun!

feature:
1> Multiline support.
2> SingleLine with commented date.
3> CSS, HTML, Javascript, C#, C-like, Java comment are supported;

Suggestion:
Define the shortcut for keybord:
Properties for All Configurations -> Keybord -> Catagory -> My Macros ->CMT.js -> Press new ShortcutKey -> Ctrl + / -> Assign ",",,",,,,,,"free",,,"0","1","0","2","Macros","0","0","0","0","0","0","3110","3","2377","0","0","64.124.8.34","2023-08-16 21:10:50","0","0",,,
"17","Calculate.jsee",,"macros/Calculate.jsee","414","2006-10-17 15:35:25","1420541206","120b5202a22bef6e7941d707cf2ea089",,,,"Macro to calculate an expression ","A macro file to calculate an expression. If text is selected, an expression in the selected text will be calculated. If no text is selected, an input box will appear, where you can enter an expression to be calculated.",",,",,,"Werner",,,"free",,,"0","1","0","2","Macros","0","0","0","0","0","0","3104","3","2504","0","0","91.214.67.229","2023-08-14 10:34:54","0","0",,,
"327","ClipReplace.vbee",,"macros/ClipReplace.vbee","3150","2009-09-26 15:05:39","1420541214","7ca830857c1bbe44cc4ac0ace42040ff",,,,"クリップボードにコピーした内容のうち#を各行の文字列で置換し置き換えます。PHPでSQL文生成する場合など& ","説明
クリップボードにコピーした内容のうち#を各行の文字列で置換し置き換えます。
※マクロ実行した行から下へ空白行まで自動で置換していきます。

例1)
[クリップボード] $# = '#';

あああ
abc
123
*/#aaaa
↓↓以下のようになります↓↓
$あああ = 'あああ';
$abc = 'abc';
$123 = '123';
$*/#aaaa = '*/#aaaa';


例2)
[クリップボード] $sql .= ' # ';

SELECT *
FROM tbl1
WHERE ""aaaa"" is null
↓↓↓
$sql .= ' SELECT * ';
$sql .= ' FROM tbl1 ';
$sql .= ' WHERE ""aaaa"" is null ';",",,",,"1",,,,"free",,,"0","1","0","2","Macros","0","0","0","0","0","0","3427","3","1051","0","0","157.55.39.214","2023-08-13 23:04:33","0","0",,,
"429","ConvertEncoding.jsee",,"macros/ConvertEncoding.jsee","3194","2010-07-13 14:09:40","1420541204","141286065a4d91de5e112a5db245f751",,,,"Macro to convert the encoding of all files in the specified folder","This macro converts the encoding of all files (of specified file extension) in the specified folder to a specified encoding. Please read comments of the macro file to change the settings such as the folder path, file extension, source file encoding, destination file encoding, and destination file Unicode Signature (BOM).",",,",,,,,"win8","free",,,"0","1","0","2","Macros","0","0","0","0","0","0","3536","2","1784","0","0","116.179.37.123","2023-08-17 14:00:31","0","0",,,
